country,n_seasons,variant,model_type,elapsed_s,mae,per_horizon_mae,weighted_horizon_score,peak_timing_error,peak_magnitude_error,sir_residual,positivity_violation,trainable_params
MEX,1.0,from_scratch,diffusion,0.2,7060.7451171875,"[5582.693359375, 7700.27392578125, 8345.71875, 8256.3955078125, 7826.32861328125, 7367.6796875, 7039.5517578125, 6966.79833984375, 6391.32080078125, 5130.68896484375]",7195.38104654948,2.8493151664733887,13900.84375,1898.8052028547686,0.8135238289833069,15169.0
MEX,1.0,from_scratch_lstm,lstm,0.4,34.37061309814453,"[6.530203819274902, 10.378540992736816, 16.891223907470703, 24.728036880493164, 32.953285217285156, 40.753387451171875, 47.512821197509766, 52.71725082397461, 55.645286560058594, 55.59613037109375]",28.7386992348565,4.438356399536133,53.94466781616211,12.962501092501425,0.0,100929.0
MEX,1.0,from_scratch_gru,gru,0.3,38.755645751953125,"[21.254161834716797, 22.197940826416016, 26.777565002441406, 32.81772232055664, 38.99176025390625, 44.43308639526367, 48.51875305175781, 50.86735534667969, 51.3917236328125, 50.30638122558594]",35.20664596557617,4.013698577880859,49.58233642578125,11.894178563993272,0.0,75713.0
MEX,1.0,from_scratch_tcn,tcn,0.2,33.96620178222656,"[1.5114340782165527, 3.6373918056488037, 10.488203048706055, 15.715414047241211, 26.606157302856445, 40.61240005493164, 54.81389236450195, 63.47110366821289, 59.06123733520508, 63.744789123535156]",26.49796175559362,4.356164455413818,62.06378936767578,14.60484878856842,0.0011440642410889268,15818.0
MEX,1.0,from_scratch_transformer,transformer,0.3,60.836612701416016,"[30.96059226989746, 23.131423950195312, 38.86696243286133, 34.37154769897461, 47.20396041870117, 79.71832275390625, 80.48543548583984, 76.29090881347656, 101.31442260742188, 96.0226058959961]",52.55431339475844,4.17808198928833,99.36808013916016,21.63718219118394,0.0,70282.0
MEX,2.0,frozen,diffusion,0.0,86.34266662597656,"[9.275468826293945, 13.74670124053955, 18.573753356933594, 27.128639221191406, 42.38681411743164, 69.64137268066406, 107.00466918945312, 155.11285400390625, 196.81964111328125, 223.73670959472656]",63.2246629026201,4.643835544586182,229.00125122070312,28.865159467850365,0.0007921662763692439,0.0
MEX,2.0,naive_full_finetune,diffusion,0.4,1774.2989501953125,"[243.85401916503906, 1170.2840576171875, 1888.1400146484375, 2187.23291015625, 2274.7744140625, 2054.71044921875, 1878.9068603515625, 2067.66357421875, 2187.10009765625, 1790.3253173828125]",1658.8073400709363,3.821917772293091,4622.10595703125,843.1199835660567,3.942542314529419,15169.0
MEX,2.0,lora_no_physics,diffusion,0.3,144.342529296875,"[30.698028564453125, 60.39024353027344, 94.93753814697266, 127.37505340576172, 146.41343688964844, 159.7073516845703, 177.88877868652344, 203.7279815673828, 219.0931396484375, 223.1938018798828]",124.6082601759169,4.246575355529785,323.7784118652344,48.06221804228584,0.058023594319820404,920.0
MEX,2.0,lora_adjoint_matched,diffusion,1.4,63.81975173950195,"[17.275659561157227, 24.710180282592773, 29.456653594970703, 36.87238693237305, 45.7330322265625, 61.25434875488281, 80.18954467773438, 98.47789764404297, 115.81558990478516, 128.4121856689453]",51.99449452294243,3.0273971557617188,137.99148559570312,19.64354251023762,0.005417319480329752,920.0
MEX,2.0,from_scratch,diffusion,0.4,1999.975341796875,"[1230.511474609375, 1757.4644775390625, 2088.582275390625, 2273.073974609375, 2389.283447265625, 2417.41064453125, 2405.75927734375, 2362.201171875, 1869.13720703125, 1206.3294677734375]",1986.8734049479165,4.027397155761719,4783.63720703125,804.1507350365058,19.18488883972168,15169.0
MEX,2.0,from_scratch_lstm,lstm,0.6,38.167633056640625,"[10.854540824890137, 11.107025146484375, 14.693285942077637, 20.396827697753906, 27.892778396606445, 37.16374969482422, 48.21904373168945, 60.60874557495117, 72.12358093261719, 78.6167221069336]",30.616016451517744,4.780821800231934,77.5828857421875,15.22832833711052,0.0,100929.0
MEX,2.0,from_scratch_gru,gru,0.5,36.13058090209961,"[13.259891510009766, 15.691280364990234, 19.83009910583496, 24.81528091430664, 30.49696922302246, 36.88881301879883, 43.94579315185547, 51.471527099609375, 59.02599334716797, 65.88018035888672]",30.581048859490288,4.849315166473389,64.0018539428711,13.332442188930656,0.0,75713.0
MEX,2.0,from_scratch_tcn,tcn,0.4,41.00058364868164,"[5.8708648681640625, 8.62656021118164, 14.73289966583252, 19.758371353149414, 30.413095474243164, 47.139122009277344, 62.985137939453125, 75.89165496826172, 76.4900894165039, 68.09803009033203]",32.73786429829068,4.068493366241455,74.73084259033203,16.111003358933843,0.0,15818.0
MEX,2.0,from_scratch_transformer,transformer,0.4,45.26645278930664,"[9.677494049072266, 8.149706840515137, 20.495237350463867, 24.635095596313477, 31.2392578125, 50.95936965942383, 80.02699279785156, 84.79549407958984, 79.87794494628906, 62.80791091918945]",37.00162537362841,3.616438388824463,82.88508605957031,17.193314255274597,0.0,70282.0
MEX,3.0,frozen,diffusion,0.0,53.03422546386719,"[8.80935287475586, 14.100412368774414, 19.91683578491211, 28.118892669677734, 37.298580169677734, 51.17546844482422, 68.1737060546875, 86.240966796875, 102.78826141357422, 113.71975708007812]",41.75272022883097,4.287671089172363,128.47586059570312,17.5381700304038,0.014080350287258625,0.0
MEX,3.0,naive_full_finetune,diffusion,0.6,1657.913818359375,"[184.42503356933594, 932.8685913085938, 1585.2452392578125, 1922.8328857421875, 2171.4921875, 2347.5458984375, 2336.4326171875, 2144.997314453125, 1728.2022705078125, 1225.09716796875]",1551.5305970085992,3.0136985778808594,3739.765869140625,686.2780426898046,0.042038898915052414,15169.0
MEX,3.0,lora_no_physics,diffusion,0.4,199.08970642089844,"[11.516021728515625, 25.18543243408203, 48.020320892333984, 86.504150390625, 145.53306579589844, 221.33203125, 308.67120361328125, 369.7323303222656, 392.2087707519531, 382.1937255859375]",153.22235596974693,4.410958766937256,422.54901123046875,54.34609264311966,0.04593200609087944,920.0
